# 2011 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2011/03/29
# MJD: 55649
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# C3    CARMA3
# JC    JCMT
# SM    SMA
# CS    CSO
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|    150.9 | C2 | C3 |        1875.0 |       90803.0 |   1.66 | 0.0856 |
|    150.9 | CS | SM |      -76737.0 |      171622.0 |   1.66 |  0.045 |
| 151.5167 | AZ | C1 |  -587404928.0 |   351214912.0 |  0.761 | 0.0352 |
| 151.5167 | AZ | C2 |  -587431936.0 |   351155680.0 |  0.761 | 0.0461 |
| 151.5167 | AZ | C3 |  -587439680.0 |   351246400.0 |  0.761 | 0.0766 |
| 151.5167 | C1 | C2 |      -27022.0 |      -59215.0 |   1.66 | 0.0526 |
| 151.5167 | C1 | CS | -2782986752.0 | -1205898624.0 |  0.396 | 0.0544 |
| 151.5167 | C1 | SM | -2783086592.0 | -1205730048.0 |  0.396 | 0.0596 |
| 151.5167 | C2 | C3 |       -7758.0 |       90700.0 |   1.66 | 0.0898 |
| 151.5167 | C2 | SM | -2783059712.0 | -1205670912.0 |  0.336 | 0.0709 |
| 151.5167 | CS | SM |      -99930.0 |      168547.0 |   1.66 |   0.03 |
|   151.95 | AZ | C1 |  -605109440.0 |   336644288.0 |  0.761 | 0.0354 |
|   151.95 | AZ | C2 |  -605131456.0 |   336584480.0 |  0.761 | 0.0474 |
|   151.95 | AZ | C3 |  -605145856.0 |   336674912.0 |  0.715 | 0.0781 |
|   151.95 | C1 | C2 |      -21990.0 |      -59813.0 |   1.66 | 0.0479 |
|   151.95 | C1 | CS | -2796222464.0 | -1274067584.0 |  0.261 | 0.0659 |
|   151.95 | C1 | SM | -2796337152.0 | -1273901696.0 |  0.261 | 0.0737 |
|   151.95 | C2 | C3 |      -14420.0 |       90429.0 |   1.66 | 0.0822 |
|   151.95 | C2 | SM | -2796315136.0 | -1273841792.0 |  0.247 | 0.0611 |
|   151.95 | C3 | SM | -2796300800.0 | -1273932288.0 |  0.288 | 0.0699 |
|   151.95 | CS | SM |     -114698.0 |      165924.0 |   1.66 | 0.0269 |
| 152.3833 | AZ | C1 |  -614991936.0 |   321736640.0 |  0.815 | 0.0358 |
| 152.3833 | AZ | C2 |  -615008640.0 |   321676352.0 |  0.815 | 0.0491 |
| 152.3833 | AZ | C3 |  -615029504.0 |   321766336.0 |  0.815 | 0.0811 |
| 152.3833 | C1 | C2 |      -16675.0 |      -60286.0 |   1.66 | 0.0461 |
| 152.3833 | C2 | C3 |      -20897.0 |       89998.0 |   1.66 | 0.1007 |
| 152.3833 | CS | SM |     -127984.0 |      162959.0 |   1.66 | 0.0333 |
| 152.8167 | AZ | C1 |  -616924608.0 |   306684608.0 |  0.773 | 0.0496 |
| 152.8167 | AZ | C2 |  -616935744.0 |   306623968.0 |  0.773 | 0.0507 |
| 152.8167 | AZ | C3 |  -616962880.0 |   306713376.0 |  0.773 | 0.0836 |
| 152.8167 | C1 | C2 |      -11143.0 |      -60626.0 |   1.66 | 0.0616 |
| 152.8167 | C2 | C3 |      -27102.0 |       89411.0 |   1.66 | 0.0968 |
| 152.8167 | C2 | SM | -2714681088.0 | -1408950784.0 |  0.305 | 0.0559 |
| 152.8167 | CS | SM |     -139615.0 |      159690.0 |   1.66 | 0.0263 |
|   153.25 | AZ | C1 |  -610882496.0 |   291682784.0 |  0.854 | 0.0506 |
|   153.25 | AZ | C2 |  -610887936.0 |   291621952.0 |  0.854 | 0.0554 |
|   153.25 | AZ | C3 |  -610920896.0 |   291710624.0 |  0.854 | 0.0978 |
|   153.25 | C1 | C2 |       -5468.0 |      -60829.0 |   1.66 | 0.0585 |
|   153.25 | C1 | CS | -2620702464.0 | -1474359296.0 |  0.314 | 0.0801 |
|   153.25 | C1 | SM | -2620851968.0 | -1474203136.0 |  0.314 | 0.1117 |
|   153.25 | C2 | C3 |      -32958.0 |       88677.0 |   1.66 | 0.1214 |
