# 2013 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2013/03/21
# MJD: 56372
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# JC    JCMT
# SM    SMA
# AP    APEX
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
| 123.0833 | C1 | SM | -1989608320.0 | -1686567808.0 | 0.2099 | 0.0117 |
| 123.0833 | C2 | SM | -1989623552.0 | -1686509056.0 | 0.2859 | 0.0514 |
| 125.4167 | AZ | C1 |  -328689344.0 |   422664448.0 | 0.5633 |  0.013 |
| 125.4167 | AZ | C2 |  -328736640.0 |   422612608.0 | 0.5665 | 0.0393 |
| 125.4167 | C1 | C2 |      -47292.0 |      -51835.0 | 1.4935 | 0.0276 |
| 125.4167 | C1 | JC | -1956890112.0 |  -836162304.0 | 0.2586 | 0.0288 |
| 125.4167 | C1 | SM | -1956873344.0 |  -836066816.0 | 0.2274 | 0.0299 |
|    125.8 | AZ | C1 |  -379506112.0 |   415011648.0 | 0.5078 |  0.011 |
|    125.8 | AZ | C2 |  -379551648.0 |   414958816.0 | 0.5042 | 0.0346 |
|    125.8 | AZ | JC | -2527213568.0 |  -465505088.0 | 0.1356 |  0.034 |
|    125.8 | AZ | SM | -2527205888.0 |  -465409344.0 | 0.2349 | 0.0352 |
|    125.8 | C1 | C2 |      -45538.0 |      -52838.0 |   1.49 | 0.0217 |
|    125.8 | C1 | JC | -2147707648.0 |  -880516736.0 | 0.1995 |  0.024 |
|    125.8 | C1 | SM | -2147699712.0 |  -880420992.0 | 0.3052 | 0.0236 |
|    125.8 | C2 | JC | -2147662080.0 |  -880463872.0 | 0.2194 | 0.0663 |
| 126.1833 | AZ | C1 |  -426483008.0 |   406302112.0 | 0.5027 | 0.0095 |
| 126.1833 | AZ | C2 |  -426526336.0 |   406248320.0 | 0.5023 | 0.0405 |
| 126.1833 | AZ | SM | -2743278336.0 |  -522362368.0 |  0.171 | 0.0286 |
| 126.1833 | C1 | C2 |      -43324.0 |      -53798.0 |  1.495 | 0.0218 |
| 126.1833 | C1 | JC | -2316794368.0 |  -928760256.0 | 0.1939 |  0.019 |
| 126.1833 | C1 | SM | -2316795392.0 |  -928664512.0 | 0.2663 | 0.0187 |
| 126.8833 | AZ | C1 |  -500824096.0 |   387967616.0 | 0.4996 | 0.0091 |
| 126.8833 | AZ | C2 |  -500862272.0 |   387912192.0 | 0.5054 | 0.0407 |
| 126.8833 | C1 | C2 |      -38170.0 |      -55409.0 | 1.4954 | 0.0211 |
| 126.8833 | C1 | JC | -2564019456.0 | -1025262592.0 | 0.1873 | 0.0167 |
| 126.8833 | C1 | SM | -2564036864.0 | -1025167168.0 | 0.2137 | 0.0158 |
| 128.0333 | AZ | C1 |  -585418560.0 |   352513728.0 | 0.5758 | 0.0086 |
| 128.0333 | AZ | C2 |  -585445568.0 |   352456192.0 |  0.579 | 0.0381 |
| 128.0333 | C1 | C2 |      -27010.0 |      -57537.0 | 1.4945 | 0.0202 |
| 128.0333 | C1 | JC | -2780092672.0 | -1199689088.0 |   0.14 | 0.0144 |
| 128.0333 | C1 | SM | -2780135424.0 | -1199595648.0 |  0.156 | 0.0099 |
|   128.75 | AZ | C1 |  -611647168.0 |   328278784.0 | 0.5944 | 0.0084 |
|   128.75 | AZ | C2 |  -611665856.0 |   328220320.0 |  0.594 |  0.038 |
|   128.75 | C1 | C2 |      -18745.0 |      -58463.0 |  1.494 | 0.0187 |
|   128.75 | C1 | JC | -2787865600.0 | -1312414080.0 | 0.1325 | 0.0141 |
